                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72931,                 0.5563,                0.99878,                0.82176,                 0.9099,                0.90506,                0.74462,                0.87757,                0.69647,                0.98717,             0.00082675,             0.00082675,             0.00082675
                     37,                 0.7445,                0.54611,                  1.002,                0.81552,                 0.9053,                0.90054,                0.73746,                0.88271,                0.66952,                 1.0134,              0.0008218,              0.0008218,              0.0008218
                     38,                0.72906,                0.57785,                0.99785,                 0.8766,                0.89284,                0.91502,                0.74537,                0.90065,                0.60218,                 1.0286,             0.00081685,             0.00081685,             0.00081685
                     39,                0.71047,                0.54389,                0.97911,                0.84725,                0.85377,                0.88889,                0.73025,                0.89339,                0.70185,                0.99061,              0.0008119,              0.0008119,              0.0008119
                     40,                0.71031,                0.54777,                0.99534,                0.88234,                0.88984,                0.92645,                0.76914,                0.86389,                0.64786,                0.97804,             0.00080695,             0.00080695,             0.00080695
                     41,                0.70031,                0.53074,                 0.9809,                0.84697,                0.88716,                0.90161,                0.74326,                0.86105,                0.75043,                0.95761,               0.000802,               0.000802,               0.000802
                     42,                0.70614,                0.52267,                0.98683,                0.89841,                0.85066,                0.90797,                0.75397,                0.84291,                0.63059,                0.99352,             0.00079705,             0.00079705,             0.00079705
                     43,                 0.7146,                0.52316,                0.98387,                0.89163,                0.87543,                0.92094,                0.75753,                0.85834,                0.57904,                0.98525,              0.0007921,              0.0007921,              0.0007921
                     44,                0.69703,                0.52961,                0.98752,                0.84132,                0.88191,                 0.9081,                0.74911,                0.82132,                0.60208,                0.96154,             0.00078715,             0.00078715,             0.00078715
                     45,                0.70514,                0.52327,                0.98186,                0.83154,                0.88186,                0.90147,                0.75215,                0.84687,                0.64923,                 0.9708,              0.0007822,              0.0007822,              0.0007822
                     46,                0.69702,                0.51875,                0.98725,                0.88743,                 0.8979,                0.92903,                0.77541,                0.82435,                0.57505,                0.98766,             0.00077725,             0.00077725,             0.00077725
                     47,                0.70671,                0.52648,                 0.9896,                0.88021,                0.86139,                0.90274,                0.75123,                0.85533,                  0.643,                  1.002,              0.0007723,              0.0007723,              0.0007723
                     48,                0.67744,                0.50732,                0.97978,                0.88994,                0.88123,                0.90797,                0.75961,                0.86656,                0.62285,                0.99238,             0.00076735,             0.00076735,             0.00076735
                     49,                0.67909,                0.49381,                0.98202,                0.81862,                0.83466,                0.87419,                0.72368,                0.85629,                0.74548,                0.98079,              0.0007624,              0.0007624,              0.0007624
                     50,                0.66932,                0.50481,                0.97194,                0.82657,                  0.866,                0.86661,                0.71685,                0.84059,                0.71668,                 0.9626,             0.00075745,             0.00075745,             0.00075745
                     51,                0.69685,                0.51651,                0.97959,                0.87322,                0.86376,                0.91342,                0.75531,                 0.8422,                  0.591,                0.99704,              0.0007525,              0.0007525,              0.0007525
                     52,                0.66848,                0.49627,                0.97548,                 0.8315,                0.91582,                0.90491,                 0.7626,                0.83042,                0.61689,                 1.0003,             0.00074755,             0.00074755,             0.00074755
                     53,                0.68192,                0.50322,                0.98436,                0.79971,                0.91294,                0.90762,                0.76467,                0.80834,                0.62215,                0.97894,              0.0007426,              0.0007426,              0.0007426
                     54,                0.66619,                0.48909,                0.96851,                0.83273,                0.89831,                 0.8882,                0.73139,                0.84075,                0.67151,                0.98829,             0.00073765,             0.00073765,             0.00073765
                     55,                0.69042,                0.49077,                0.98538,                0.86668,                0.86884,                0.89839,                0.75168,                0.82194,                 0.5979,                0.97369,              0.0007327,              0.0007327,              0.0007327
                     56,                0.65874,                0.46996,                0.96058,                0.86612,                0.88022,                0.92042,                0.77531,                 0.8127,                0.63674,                 1.0117,             0.00072775,             0.00072775,             0.00072775
                     57,                0.65887,                0.46219,                0.96222,                0.86073,                0.85508,                0.88096,                0.74394,                0.86358,                0.70297,                 1.0577,              0.0007228,              0.0007228,              0.0007228
                     58,                0.64823,                 0.4638,                0.96138,                0.82361,                0.89493,                0.89604,                0.75255,                0.83541,                0.68589,                0.98549,             0.00071785,             0.00071785,             0.00071785
                     59,                0.63006,                0.45073,                0.96154,                0.89614,                0.86285,                0.89897,                0.75727,                0.81153,                0.58525,                0.96581,              0.0007129,              0.0007129,              0.0007129
                     60,                0.65619,                  0.462,                0.96378,                0.87215,                0.83203,                 0.8865,                 0.7531,                0.83258,                0.70205,                0.98934,             0.00070795,             0.00070795,             0.00070795
                     61,                0.64718,                0.45306,                 0.9669,                0.85491,                  0.848,                0.88665,                0.73981,                0.90088,                0.69445,                 1.0388,               0.000703,               0.000703,               0.000703
                     62,                0.65162,                0.45602,                0.96077,                 0.8518,                0.85362,                0.87473,                0.72901,                0.82959,                0.73767,                0.97334,             0.00069805,             0.00069805,             0.00069805
                     63,                0.64573,                0.45685,                0.96382,                0.84193,                  0.906,                0.89793,                0.75747,                 0.8171,                0.63164,                0.96943,              0.0006931,              0.0006931,              0.0006931
                     64,                0.64219,                0.45026,                0.95976,                0.87839,                 0.8776,                0.91541,                0.76667,                0.85904,                0.65789,                0.99061,             0.00068815,             0.00068815,             0.00068815
                     65,                0.65504,                0.46037,                0.95965,                0.83062,                0.88963,                0.89861,                0.75568,                0.84013,                0.67842,                0.99993,              0.0006832,              0.0006832,              0.0006832
                     66,                0.64855,                0.45924,                 0.9645,                0.85897,                0.88906,                0.90186,                 0.7619,                  0.818,                0.63006,                0.98245,             0.00067825,             0.00067825,             0.00067825
                     67,                0.62723,                0.43734,                0.95536,                0.84562,                0.89679,                0.90797,                 0.7784,                0.80095,                0.66803,                0.96395,              0.0006733,              0.0006733,              0.0006733
                     68,                0.63404,                0.42858,                0.95635,                0.84771,                0.87613,                 0.8951,                0.75376,                0.81364,                 0.6746,                0.98264,             0.00066835,             0.00066835,             0.00066835
                     69,                0.62354,                0.44292,                0.94899,                 0.8581,                0.87577,                0.91347,                0.77348,                0.84159,                0.68637,                 1.0202,              0.0006634,              0.0006634,              0.0006634
                     70,                0.61885,                0.43836,                 0.9527,                0.90889,                0.87265,                 0.9202,                0.78115,                0.81119,                0.67867,                0.97791,             0.00065845,             0.00065845,             0.00065845
                     71,                0.60743,                0.42612,                0.94951,                0.87843,                0.86404,                0.89263,                0.75621,                0.82603,                0.64644,                0.96869,              0.0006535,              0.0006535,              0.0006535
                     72,                0.61924,                0.42672,                0.95073,                0.88129,                0.87589,                0.90711,                0.76909,                0.80469,                0.58479,                 1.0092,             0.00064855,             0.00064855,             0.00064855
                     73,                0.61803,                0.43511,                0.95418,                0.89724,                0.86523,                0.89103,                0.76097,                0.79617,                0.66153,                0.97457,              0.0006436,              0.0006436,              0.0006436
                     74,                0.61629,                 0.4337,                0.95043,                0.86516,                0.87971,                0.90731,                 0.7699,                0.79843,                0.66532,                0.98919,             0.00063865,             0.00063865,             0.00063865
                     75,                  0.603,                0.43437,                0.94869,                0.84515,                 0.9063,                0.90083,                0.76088,                0.82222,                0.66419,                0.99567,              0.0006337,              0.0006337,              0.0006337
                     76,                0.61832,                0.42741,                0.94954,                0.82237,                0.90273,                0.89265,                0.76134,                0.79695,                0.63376,                0.96438,             0.00062875,             0.00062875,             0.00062875
                     77,                0.60253,                 0.4137,                0.94227,                0.82325,                0.85975,                0.87334,                0.74948,                0.80733,                0.72509,                 1.0251,              0.0006238,              0.0006238,              0.0006238
                     78,                0.61894,                0.42049,                0.95585,                0.85975,                0.84126,                0.88947,                0.75551,                0.82163,                0.71692,                0.99339,             0.00061885,             0.00061885,             0.00061885
                     79,                0.60357,                0.41076,                0.94991,                0.84438,                0.86217,                0.89768,                0.76552,                0.85386,                0.73709,                0.98631,              0.0006139,              0.0006139,              0.0006139
                     80,                0.60417,                0.40751,                0.94875,                0.84446,                0.86842,                0.88918,                0.76269,                0.80883,                0.65546,                0.97268,             0.00060895,             0.00060895,             0.00060895
                     81,                0.60004,                0.42478,                0.94128,                0.81734,                0.87725,                0.86344,                0.72791,                0.83618,                0.78191,                0.96403,               0.000604,               0.000604,               0.000604
                     82,                0.58701,                0.40352,                0.94772,                0.86808,                0.84606,                 0.8991,                0.75886,                0.83054,                0.72761,                 1.0174,             0.00059905,             0.00059905,             0.00059905
                     83,                0.59596,                0.40688,                0.94276,                0.84988,                0.86048,                0.89857,                 0.7547,                0.83928,                0.74268,                 1.0205,              0.0005941,              0.0005941,              0.0005941
                     84,                0.59251,                0.40372,                0.94325,                0.88618,                0.84862,                0.89374,                0.75148,                0.81186,                0.81108,                 1.0095,             0.00058915,             0.00058915,             0.00058915
                     85,                0.59016,                 0.4014,                0.94267,                0.87732,                0.86507,                0.89704,                 0.7679,                0.80739,                0.74485,                 1.0147,              0.0005842,              0.0005842,              0.0005842
                     86,                0.58504,                0.40187,                0.93964,                0.85128,                0.86932,                0.90227,                0.77502,                0.79689,                0.87847,                0.99753,             0.00057925,             0.00057925,             0.00057925
                     87,                0.58844,                0.38907,                 0.9327,                0.87325,                0.87059,                0.89573,                0.77006,                0.80089,                0.76423,                 1.0152,              0.0005743,              0.0005743,              0.0005743
                     88,                0.57641,                0.40354,                0.93375,                0.86181,                0.86273,                0.89192,                0.76066,                0.82938,                0.75977,                 1.0264,             0.00056935,             0.00056935,             0.00056935
                     89,                0.58319,                0.39411,                0.93575,                0.85978,                0.88133,                0.90027,                0.76449,                0.83074,                0.75947,                 1.0167,              0.0005644,              0.0005644,              0.0005644
                     90,                0.57016,                0.39589,                0.92893,                0.87383,                  0.874,                0.89117,                 0.7638,                0.81134,                 0.7483,                0.98832,             0.00055945,             0.00055945,             0.00055945
                     91,                0.58117,                0.39051,                0.94645,                0.87798,                0.86571,                0.89086,                 0.7545,                  0.804,                0.69082,                0.98331,              0.0005545,              0.0005545,              0.0005545
                     92,                0.57192,                0.38133,                 0.9361,                 0.8707,                0.84994,                0.88201,                0.74955,                0.81613,                0.79082,                 1.0153,             0.00054955,             0.00054955,             0.00054955
                     93,                0.56369,                0.38343,                 0.9351,                0.85326,                0.90528,                0.90072,                0.76351,                0.79388,                0.67809,                0.99458,              0.0005446,              0.0005446,              0.0005446
